MonitoringLocationIdentifier,State,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure
MTVOLWQM_WQX-ASHCR2,Montana,Ashley Creek 2,Stream,48.1726,-114.30505
MDEQ_WQ_WQX-M05SAGEC01,Montana,Sage Creek at mouth,Stream,45.067745,-111.188216
MDEQ_REM_WQX-CFR-03A,Montana,Clark Fork River near Galen,Stream,46.20877,-112.7674
MDEQ_REM_WQX-CFR-07D,Montana,Clark Fork River at Galen Road,Stream,46.23725,-112.75302
MDEQ_REM_WQX-CFR-116A,Montana,Clark Fork River at Turah,Stream,46.82646,-113.81424
MDEQ_REM_WQX-CFR-11F,Montana,Clark Fork River at Gem Back Road,Stream,46.2652,-112.7443
MDEQ_REM_WQX-CFR-27H,Montana,Clark Fork River at Deer Lodge,Stream,46.39796,-112.74283
MDEQ_REM_WQX-CFR-34,Montana,Clark Fork River below Grant-Kohrs Ranch,Stream,46.47119,-112.72492
MDEQ_REM_WQX-CFR-84F,Montana,Clark Fork River near Drummond,Stream,46.71204,-113.33137
MDEQ_REM_WQX-CML-01,Montana,South Fork Lower Willow Creek d/s BPM site at northern USFS border,Stream,46.48382,-113.390457
MDEQ_REM_WQX-CML-02,Montana,South Fork Lower Willow Creek d/s Trust Property,Stream,46.464187,-113.391676
MDEQ_REM_WQX-CML-03,Montana,Unnamed Tributary (Mill Cr) to SF Lower Willow Creek by Combination Mill,Stream,46.457731,-113.390855
MDEQ_REM_WQX-CML-03.5,Montana,Unnamed Tributary (Mill Cr) to SF Lower Willow Creek above SFLWC confluence,Stream,46.461038,-113.391949
MDEQ_REM_WQX-CML-04,Montana,South Fork Lower Willow Creek upstream end Combination Mill,Stream,46.455838,-113.392784
MDEQ_REM_WQX-CML-10,Montana,South Fork Lower Willow Creek d/s Trust Property,Stream,46.471464,-113.392475
MDEQ_REM_WQX-CML-13,Montana,South Fork Lower Willow Creek downstream Tim Smith drainage confluence,Stream,46.447184,-113.393619
MDEQ_REM_WQX-CML-15,Montana,South Fork Lower Willow Creek next to S. Combination Mill tailings,Stream,46.458568,-113.39268
MDEQ_REM_WQX-FC-CFR,Montana,Flint Creek near mouth,Stream,46.62891,-113.15151
MDEQ_REM_WQX-GW-RM-BG,Montana,Ramsay background monitoring well,Stream,45.99889,-112.69417
MDEQ_REM_WQX-GW-RM-NS,Montana,Ramsay northside monitoring well,Stream,46.00333,-112.69806
MDEQ_REM_WQX-GW-RM-SS,Montana,Ramsay southside monitoring well,Stream,46.00222,-112.65941
MDEQ_REM_WQX-LBR-CFR-02,Montana,Little Blackfoot River at Beck Hill Road,Stream,46.5371,-112.72443
MDEQ_REM_WQX-LC-7.5,Montana,Lost Creek near mouth,Stream,46.21862,-112.77384
MDEQ_REM_WQX-MCWC-MWB,Montana,Mill-Willow Creek at Frontage Road,Stream,46.12649,-112.79876
MDEQ_REM_WQX-MWB-SBC,Montana,Mill-Willow Bypass near mouth,Stream,46.17839,-112.7827
MDEQ_REM_WQX-NT-03,Montana,South Fork Lower Willow Creek u/s Trust Property and d/s unnamed tributary,Stream,46.441604,-113.396727
MDEQ_REM_WQX-NT-07.5,Montana,South Fork Lower Willow Creek between Copper Cr and unnamed tributary,Stream,46.503484,-113.378135
MDEQ_REM_WQX-NT-08.5,Montana,South Fork Lower Willow Creek downstream USFS land,Stream,46.51637,-113.361288
MDEQ_REM_WQX-NT-09,Montana,South Fork Lower Willow Creek d/s USFS land and unnamed tributary to east,Stream,46.521357,-113.353384
MDEQ_REM_WQX-NT-09.5,Montana,South Fork Lower Willow Creek downstream USFS land,Stream,46.524203,-113.348833
MDEQ_REM_WQX-NT-12.3,Montana,South Fork Lower Willow Creek downstream USFS land,Stream,46.534144,-113.340423
MDEQ_REM_WQX-NT-13,Montana,South Fork Lower Willow Creek d/s USFS land and unnamed tributary to west,Stream,46.545379,-113.332391
MDEQ_REM_WQX-NT-13.75,Montana,South Fork Lower Willow Creek u/s Lower Willow Creek Reservoir,Stream,46.551798,-113.325829
MDEQ_REM_WQX-NT-15,Montana,South Fork Lower Willow Creek at mouth (Lower Willow Creek Reservoir),Stream,46.552787,-113.324576
MDEQ_REM_WQX-NT-16,Montana,South Fork Lower Willow Creek downstream Non-Trust Property,Stream,46.55925,-113.30989
MDEQ_REM_WQX-RTC-1.5,Montana,Racetrack Creek near mouth,Stream,46.28395,-112.74921
MDEQ_REM_WQX-SBC-P2,Montana,Silver Bow Creek Pond 2 outfall,Stream,46.17742,-112.78149
MDEQ_REM_WQX-SLAG-01,Montana,Silver Bow Creek in Slag Canyon,Stream,45.99675,-112.54143
MDEQ_REM_WQX-SS-01,Montana,Blacktail Creek at Father Sheehan Park,Stream,45.98532,-112.50772
MDEQ_REM_WQX-SS-04,Montana,Blacktail Creek at Metro Storm Drain Confluence,Stream,45.9946,-112.53592
MDEQ_REM_WQX-SS-05A,Montana,Silver Bow Creek above Butte Reduction Works,Stream,45.99653,-112.54343
MT305B_SECONDARYDATA-ASHCR3,Montana,Ashley Creek 3,Stream,48.146921,-114.286169
MDEQ_REM_WQX-SS-07,Montana,Silver Bow Creek below WWTP,Stream,45.99679,-112.5647
MDEQ_REM_WQX-SS-07-0.5,Montana,SBC 0.5 mi d/s from SS-07,Stream,45.9986,-112.57447
MDEQ_REM_WQX-SS-07-1.0,Montana,SBC 1.0 mi d/s from SS-07,Stream,46.00017,-112.58304
MDEQ_REM_WQX-SS-07-1.5,Montana,SBC 1.5 mi d/s from SS-07,Stream,46.00185,-112.59238
MDEQ_REM_WQX-SS-07-2.0,Montana,SBC 2.0 mi d/s from SS-07,Stream,46.00198,-112.60226
MDEQ_REM_WQX-SS-07-2.5,Montana,SBC 2.5 mi d/s from SS-07,Stream,46.00357,-112.61056
MDEQ_REM_WQX-SS-07-3.0,Montana,SBC 3.0 mi d/s from SS-07,Stream,46.00416,-112.61982
MDEQ_REM_WQX-SS-07-3.1,Montana,SBC 3.1 mi d/s from SS-07,Stream,46.00373,-112.62154
MDEQ_REM_WQX-SS-07-3.2,Montana,SBC 3.2 mi d/s from SS-07,Stream,46.00351,-112.62337
MDEQ_REM_WQX-SS-07-3.3,Montana,SBC 3.3 mi d/s from SS-07,Stream,46.00279,-112.62507
MDEQ_REM_WQX-SS-07-3.4,Montana,SBC 3.4 mi d/s from SS-07,Stream,46.00225,-112.62631
MDEQ_REM_WQX-SS-07-3.5,Montana,SBC 3.5 mi d/s from SS-07,Stream,46.00103,-112.62755
MDEQ_REM_WQX-SS-07-4.0,Montana,SBC 4.0 mi d/s from SS-07,Stream,46.00303,-112.63658
MDEQ_REM_WQX-SS-07-4.5,Montana,SBC 4.5 mi d/s from Site SS-07,Stream,46.00435,-112.64649
MDEQ_REM_WQX-SS-07-5.0,Montana,SBC 5.0 mi d/s from SS-07,Stream,46.0047,-112.65595
MDEQ_REM_WQX-SS-07-5.2,Montana,SBC at SS-10A (5.2 mi d/s from SS-07),Stream,46.00383,-112.6606
MDEQ_REM_WQX-SS-08,Montana,Silver Bow Creek at Rocker,Stream,46.00167,-112.6049
MDEQ_REM_WQX-SS-10A,Montana,Silver Bow Creek above Sand Creek,Stream,46.00375,-112.66084
MDEQ_REM_WQX-SS-11C,Montana,Silver Bow Creek above Browns Gulch,Stream,46.00336,-112.70172
MDEQ_REM_WQX-SS-11D,Montana,Silver Bow Creek below Browns Gulch,Stream,46.00342,-112.70304
MDEQ_REM_WQX-SS-13,Montana,Silver Bow Creek in Reach L,Stream,46.00647,-112.71394
MDEQ_REM_WQX-SS-14,Montana,Silver Bow Creek at Miles Crossing,Stream,46.01142,-112.7227
MDEQ_REM_WQX-SS-15A-2,Montana,Silver Bow Creek above German Gulch,Stream,46.02096,-112.78802
MDEQ_REM_WQX-SS-15B,Montana,Silver Bow Creek below German Gulch,Stream,46.02263,-112.79175
MDEQ_REM_WQX-SS-15G,Montana,German Gulch near confluence,Stream,46.0217,-112.79029
MDEQ_REM_WQX-SS-16B,Montana,Silver Bow Creek in Reach P near Fairmont,Stream,46.05494,-112.79611
MDEQ_REM_WQX-SS-17D,Montana,Silver Bow Creek below Stewart Street at Opportunity,Stream,46.10787,-112.80553
MDEQ_REM_WQX-SS-19,Montana,Silver Bow Creek at Frontage Road,Stream,46.12247,-112.80032
MDEQ_REM_WQX-SS-25,Montana,Silver Bow Creek at Warms Springs,Stream,46.18123,-112.77917
MDEQ_REM_WQX-WSC-SBC,Montana,Warm Springs Creek near mouth,Stream,46.18041,-112.78592
MDEQ_WQ_WQX-BKK129,Montana,Smith River 100 yards upstream of Fort Logan bridge,Stream,46.6758,-111.1444
MDEQ_WQ_WQX-BKK130,Montana,Smith River below Devil's bridge,Stream,46.828,-111.1924
MDEQ_WQ_WQX-BKK133,Montana,Smith River upstream Hound Creek confluence,Stream,47.2154,-111.3866
MDEQ_WQ_WQX-C01BAGSC01,Montana,Baggs Creek,Stream,46.3985,-112.55323
MDEQ_WQ_WQX-C01CABLC06,Montana,Cable Creek,Stream,46.16906,-113.16719
MDEQ_WQ_WQX-C01CKFKR03,Montana,Clark Fork River at Kohrs Bend fishing access,Stream,46.4989,-112.7418
MDEQ_WQ_WQX-C01CKFKR04,Montana,Clark Fork River downstream Warm Springs Creek confluence,Stream,46.18745,-112.7706
MDEQ_WQ_WQX-C01CKFKR09,Montana,Clark Fork River at Gold Creek transfer station,Stream,46.59054,-112.93063
MDEQ_WQ_WQX-C01LOSTC08,Montana,Lost Creek,Stream,46.22112,-113.0285
MDEQ_WQ_WQX-C01LTBLR13,Montana,Little Blackfoot River 1/6 mile above Homestead Gulch,Stream,46.5695,-112.6659
MDEQ_WQ_WQX-C01LTBLR65,Montana,Little Blackfoot River 0.75 mi u/s of Larabee Gulch,Stream,46.43888,-112.46151
MDEQ_WQ_WQX-C02ROCEF01,Montana,Rock Creek East Fork at wilderness boundary,Stream,46.0858,-113.3658
MDEQ_WQ_WQX-C02ROCKC60,Montana,Rock Creek 0.2 mi u/s Big Spring Creek,Stream,46.41035,-113.70605
MDEQ_WQ_WQX-C02ROCWF09,Montana,Rock Creek West Fork downstream from Beaver Creek,Stream,46.2329,-113.5669
MDEQ_WQ_WQX-C02WLCMC01,Montana,Welcome Creek about 0.25 mile above the mouth,Stream,46.5618,-113.7031
MDEQ_WQ_WQX-C03BKFNF10,Montana,Blackfoot River North Fork at Harry Morgan FAS,Stream,46.97973,-113.09974
MDEQ_WQ_WQX-C03BLACR01,Montana,"Blackfoot River 5.8 miles north of Bonner, past Angivin Park",Stream,46.900278,-113.755
MDEQ_WQ_WQX-C03BLACR05,Montana,Blackfoot River at Angivin FAS,Stream,46.89654,-113.763449
MDEQ_WQ_WQX-C03CLRWR20,Montana,Clearwater River at Harpers Lake Campground,Stream,47.01955,-113.38455
MDEQ_WQ_WQX-C03MONTC10,Montana,Monture Creek 100 yards upstream of Monture Creek campground,Stream,47.126111,-113.146389
MDEQ_WQ_WQX-C03SNWBC01,Montana,Snowbank Creek,Stream,47.0704,-112.6234
MDEQ_WQ_WQX-C04CACHC01,Montana,Cache Creek,Stream,46.7979,-114.6558
MDEQ_WQ_WQX-C04CKFKR05,Montana,Clark Fork River at Kona Bridge fishing access,Stream,46.8989,-114.1513
MDEQ_WQ_WQX-C04CKFKR30,Montana,Clark Fork River 1 mi u/s St. Regis River,Stream,47.27951,-115.08506
MDEQ_WQ_WQX-C04FHNFC01,Montana,Fish Creek North Fork,Stream,46.9122,-114.8174
MDEQ_WQ_WQX-C04FIREC01,Montana,Fire Creek,Stream,46.8886,-114.8039
MDEQ_WQ_WQX-C04KNDYC01,Montana,Kennedy Creek upstream of FR Road 5507,Stream,47.164891,-114.422368
MDEQ_WQ_WQX-C04KNDYC02,Montana,Kennedy Creek 2 miles above mouth below mining complex,Stream,47.13241,-114.478355
MDEQ_WQ_WQX-C04KNDYC03,Montana,Kennedy Creek 2.5 mi u/s of mouth,Stream,47.14003,-114.46709
MDEQ_WQ_WQX-C04KNDYC04,Montana,"Kennedy Creek above mouth, upstream of Ninemile Creek Road",Stream,47.123076,-114.491134
MDEQ_WQ_WQX-C04KNDYC54,Montana,Kennedy Creek downstream of Nugget Mine,Stream,47.14579,-114.44627
MDEQ_WQ_WQX-C04KNDYC57,Montana,Kennedy Creek just downstream of Lost Cabin Mine,Stream,47.1474,-114.44515
MDEQ_WQ_WQX-C04KNDYC62,Montana,Kennedy Creek downstream of Hautilla Mine,Stream,47.15102,-114.4427
MDEQ_WQ_WQX-C04STATC01,Montana,Straight Creek,Stream,46.91,-114.8185
MT305B_SECONDARYDATA-ASHCR4,Montana,Ashley Creek 4,Stream,48.13536,-114.245275
MDEQ_WQ_WQX-C04STRGR30,Montana,St Regis River near Drexel,Stream,47.32325,-115.2504
MDEQ_WQ_WQX-C04TROTC02,Montana,Trout Creek at Trout Creek Campground,Stream,47.11638,-114.8705
MDEQ_WQ_WQX-C05BASSC01,Montana,Bass Creek below bridge,Stream,46.5745,-114.1344
MDEQ_WQ_WQX-C05BITER04,Montana,Bitterroot River East Fork by tallest Ponderosa,Stream,45.8464,-114.0068
MDEQ_WQ_WQX-C05BITER40,Montana,Bitterroot River East Fork 1 mi. d/s Sula on Hwy 93,Stream,45.84356,-113.99968
MDEQ_WQ_WQX-C05BITER60,Montana,Bitterroot River East Fork 300 ftd/s Jennings campground,Stream,45.89515,-113.82223
MDEQ_WQ_WQX-C05BITRR02,Montana,Bitterroot River at Buckhouse Bridge,Stream,46.83012,-114.05406
MDEQ_WQ_WQX-C05BITRR13,Montana,Bitterroot River below two channel section,Stream,46.6906,-114.0456
MDEQ_WQ_WQX-C05BITRR28,Montana,Bitterroot River at Stevensville,Stream,46.51808,-114.11061
MDEQ_WQ_WQX-C05BITRR34,Montana,Bitterroot River above Lolo Creek,Stream,46.755586,-114.063614
MDEQ_WQ_WQX-C05BITRR35,Montana,Bitterroot River at Florence Bridge,Stream,46.63309,-114.05096
MDEQ_WQ_WQX-C05BITRR74,Montana,Bitterroot River at Bitterroot River FAS,Stream,46.52357,-114.10639
MDEQ_WQ_WQX-C05BITRR76,Montana,Bitterroot River at Whitetail Golf Course,Stream,46.522317,-114.107056
MDEQ_WQ_WQX-C05BITWR06,Montana,Bitterroot River WF at WF boating access,Stream,45.81498,-114.25351
MDEQ_WQ_WQX-C05BITWR50,Montana,Bitterroot River West Fork just u/s of Bonnie Blue Creek,Stream,45.75046,-114.29353
MDEQ_WQ_WQX-C05BLDGC01,Montana,Blodgett Creek below Blodgett Creek Campground on FS land,Stream,46.2692,-114.2417
MDEQ_WQ_WQX-C05CAMPC10,Montana,Camp Creek at Sula Ranger station,Stream,45.81647,-113.95617
MDEQ_WQ_WQX-C05LOEFC03,Montana,Lolo Creek East Fork near mouth,Stream,46.71146,-114.53094
MDEQ_WQ_WQX-C05LOEFC05,Montana,Lolo Creek East Fork u/s Lost Park Creek,Stream,46.68406,-114.47525
MDEQ_WQ_WQX-C05LOWFC03,Montana,Lolo Creek WF 900 ft below W Lee Creek Rd,Stream,46.68958,-114.55295
MDEQ_WQ_WQX-C05OBINC02,Montana,OBrien Creek 0.5 mi. u/s of mouth,Stream,46.84736,-114.118821
MDEQ_WQ_WQX-C05OBINC10,Montana,OBrien Creek 5 mi. u/s of mouth,Stream,46.849276,-114.21043
MDEQ_WQ_WQX-C05OVWHC01,Montana,Overwhich Creek 100 yards below bridge on FS Rd 5703,Stream,45.653333,-114.219444
MDEQ_WQ_WQX-C05OVWHC02,Montana,Overwhich Creek above West Fork Road Bridge,Stream,45.671389,-114.3025
MDEQ_WQ_WQX-C05REMLC01,Montana,Reimel Creek 1/4 mile upstream of Wallace Creek,Stream,45.794444,-113.927222
MDEQ_WQ_WQX-C05REMLC03,Montana,Reimel Creek u/s of Reimel Creek Ranch,Stream,45.83387,-113.94559
MDEQ_WQ_WQX-C05RORLC10,Montana,Roaring Lion Creek Upper at Roaring Lion trailhead,Stream,46.1929,-114.24294
MDEQ_WQ_WQX-C05SPRGC72,Montana,Spring Creek u/s of Teller wetland outlet,Stream,46.326796,-114.128825
MDEQ_WQ_WQX-C05TELRW04,Montana,Teller Wetland inlet,Stream,46.323593,-114.131223
MDEQ_WQ_WQX-C05TELRW05,Montana,Teller Wetland surface water,Stream,46.324167,-114.131919
MDEQ_WQ_WQX-C05TINCC02,Montana,Tin Cup Creek 200 yards upstream of Tin Cup Creek trailhead,Stream,46.01404,-114.22561
MDEQ_WQ_WQX-C05WRMSC10,Montana,Warm Springs Creek at WS campground,Stream,45.84253,-114.04133
MDEQ_WQ_WQX-C06BIGC07,Montana,Big Creek at Big Creek campground,Stream,48.60242,-114.16391
MDEQ_WQ_WQX-C06NFKFR48,Montana,Flathead River NF at Canadian border,Stream,49.00045,-114.47484
MDEQ_WQ_WQX-C07BEARC01,Montana,Bear Creek at Bear Cr trailhead,Stream,48.23362,-113.56474
MDEQ_WQ_WQX-C08FRSFK01,Montana,Flathead River South Fork at Spotted Bear,Stream,47.984233,-113.563733
MDEQ_WQ_WQX-C08FRSFK13,Montana,Flathead River SF at Cedar Flats access,Stream,47.85444,-113.42854
MT305B_SECONDARYDATA-ASHCR5,Montana,Ashley Creek 5,Stream,48.146313,-114.215151
MDEQ_WQ_WQX-C08LTWNC03,Montana,Lower Twin Creek at Lower Twin Creek access,Stream,47.99004,-113.56509
MDEQ_WQ_WQX-C08SPBRR06,Montana,Spotted Bear River between Flat and Bent Creeks,Stream,47.93725,-113.4941
MDEQ_WQ_WQX-C09CHEPC01,Montana,Chepat Creek near mouth (Stillwater River),Stream,48.7398,-114.7331
MDEQ_WQ_WQX-C09CHEPC02,Montana,Chepat Creek,Stream,48.7513,-114.7272
MDEQ_WQ_WQX-C09CIKNC01,Montana,Chicken Creek above upper Whitefish road crossing,Stream,48.6251,-114.5291
MDEQ_WQ_WQX-C09WHTFR01,Montana,Whitefish River N of Kalispell on Tetrrault Road N of bridge,Stream,48.320556,-114.278611
MDEQ_WQ_WQX-C10BONDC01,Montana,Bond Creek near mouth (Swan Lake),Stream,47.9204,-113.8289
MDEQ_WQ_WQX-C10GLCRC06,Montana,Glacier Creek at Glacier Lake trailhead,Stream,47.38133,-113.7928
MDEQ_WQ_WQX-C10GOATC04,Montana,Goat Creek,Stream,47.7688,-113.7368
MDEQ_WQ_WQX-C10GOATC05,Montana,Goat Creek,Stream,47.75061,-113.81191
MDEQ_WQ_WQX-C10GOATC06,Montana,Goat Creek about 4 miles upstream of Hwy 83,Stream,47.7657,-113.7664
MDEQ_WQ_WQX-C10GOATC07,Montana,Goat Creek,Stream,47.7736,-113.70471
MDEQ_WQ_WQX-C10GOATC08,Montana,Goat Creek,Stream,47.755191,-113.790552
MDEQ_WQ_WQX-C10LIONC08,Montana,Lion Creek,Stream,47.68217,-113.772074
MDEQ_WQ_WQX-C10LIONC13,Montana,Lion Creek,Stream,47.671866,-113.742009
MDEQ_WQ_WQX-C10SWANR21,Montana,Swan River at Blair Flats picnic area,Stream,47.86246,-113.84159
MDEQ_WQ_WQX-C11FLATL07,Montana,Flathead Lake 0.75 mi. NE of Point Caroline,Lake,48.0429,-114.20098
MDEQ_WQ_WQX-C11FLATR02,Montana,Flathead River just downstream Hwy 82 near the mouth,Stream,48.09238,-114.11395
MDEQ_WQ_WQX-C11FLATR03,Montana,Flathead River at Old Steel Bridge FAS,Stream,48.20908,-114.26102
MDEQ_WQ_WQX-C11FLATR42,Montana,Flathead River at Blankenship Bridge,Stream,48.46515,-114.07083
MDEQ_WQ_WQX-C12FLATR02,Montana,Flathead River at discontinued Statewide Monitoring site,Stream,47.34425,-114.70832
MDEQ_WQ_WQX-C13BLEFR04,Montana,Bull River East Fork d/s of weir,Stream,48.11061,-115.77955
MDEQ_WQ_WQX-C13BULLR24,Montana,Bull River 900 ft below Bear Claw Lane,Stream,48.13648,-115.86666
MDEQ_WQ_WQX-C13CABGR07,Montana,Cabinet Gorge Reservoir just d/s of Blacktail Cr confluence,Stream,48.05621,-115.89073
MDEQ_WQ_WQX-C13CANYC01,Montana,Canyon Creek off Vermilion Cr Rd,Stream,47.85475,-115.50002
MDEQ_WQ_WQX-C13CKFKR05,Montana,Clark Fork River at Hwy 200 bridge near Paradise,Stream,47.3834,-114.79917
MDEQ_WQ_WQX-C13THMSR04,Montana,Thompson River 1500 ft past Riverside Lane,Stream,47.62208,-115.18718
MDEQ_WQ_WQX-C13THMSR60,Montana,Thompson River d/s confluence of Big Rock Creek,Stream,47.86938,-115.00436
MDEQ_WQ_WQX-C13TPRWF05,Montana,Thompson River West Fork off of Thompson River Rd,Stream,47.65021,-115.17432
MDEQ_WQ_WQX-C13VERMR03,Montana,Vermilion River 3 mi upstream from mouth,Stream,47.85587,-115.48323
MDEQ_WQ_WQX-C13VERMR08,Montana,Vermilion River near 20 Odd Rd,Stream,47.849932,-115.514958
MDEQ_WQ_WQX-C13VERMR10,Montana,Vermilion River at private bridge,Stream,47.843663,-115.528261
MDEQ_WQ_WQX-K01ALEXC01,Montana,Alexander Creek at mouth (Kootenai River),Stream,48.39271,-115.32935
MDEQ_WQ_WQX-K01BARRC01,Montana,Barron Creek near mouth (Lake Koocanusa),Stream,48.51373,-115.30132
MDEQ_WQ_WQX-K01BIGC01,Montana,Big Creek at mouth (Lake Koocanusa),Stream,48.74742,-115.35283
MDEQ_WQ_WQX-K01BOLDC01,Montana,Boulder Creek at mouth (Lake Koocanusa),Stream,48.82039,-115.28964
MDEQ_WQ_WQX-K01BRISC01,Montana,Bristow Creek at road crossing,Stream,48.5444,-115.2931
MDEQ_WQ_WQX-K01CANYC01,Montana,Canyon Creek at mouth (Lake Koocanusa),Stream,48.43054,-115.28476
MDEQ_WQ_WQX-K01CHRSC01,Montana,Cripple Horse Creek near mouth (Lake Koocanusa),Stream,48.47739,-115.25556
MDEQ_WQ_WQX-K01DODGC01,Montana,Dodge Creek at mouth (Lake Koocanusa),Stream,48.9319,-115.19468
MDEQ_WQ_WQX-K01DUNNC01,Montana,Dunn Creek near mouth (Kootenai River),Stream,48.38485,-115.31325
MDEQ_WQ_WQX-K01FIVMC01,Montana,Fivemile Creek near mouth (Lake Koocanusa),Stream,48.53586,-115.21038
MDEQ_WQ_WQX-K01GBLRC01,Montana,Geibler Creek at mouth (Lake Koocanusa),Stream,48.62742,-115.2944
MDEQ_WQ_WQX-K01GOLDC01,Montana,Gold Creek at mouth (Lake Koocanusa),Stream,48.7847,-115.31538
MDEQ_WQ_WQX-K01JCKSC01,Montana,Jackson Creek near mouth (Lake Koocanusa),Stream,48.46793,-115.32693
MDEQ_WQ_WQX-K01KOOTR08,Montana,Kootenai River at Riverside Park in Libby,Stream,48.39716,-115.55028
MDEQ_WQ_WQX-K01KOOTR44,Montana,Kootenai River 1500 ft u/s Yaak River (Yaak R CG),Stream,48.56431,-115.97994
MDEQ_WQ_WQX-K01MCGRC01,Montana,McGuire Creek at mouth (Lake Koocanusa),Stream,48.69542,-115.30559
MDEQ_WQ_WQX-K01PARSC01,Montana,Parsnip Creek at mouth (Lake Koocanusa),Stream,48.66494,-115.34177
MDEQ_WQ_WQX-K01PIPEC03,Montana,Pipe Creek at Timberlane Campground,Stream,48.48895,-115.52419
MDEQ_WQ_WQX-K01PNKHC01,Montana,Pinkham Creek at mouth (Lake Koocanusa),Stream,48.82817,-115.24346
MDEQ_WQ_WQX-K01PSNFC01,Montana,Parsnip Creek North Fork at mouth (Lake Koocanusa),Stream,48.674,-115.339
MDEQ_WQ_WQX-K01SHEPC01,Montana,Sheep Creek at mouth (Lake Koocanusa),Stream,48.62304,-115.25804
MDEQ_WQ_WQX-K01SLVNC01,Montana,Sullivan Creek at mouth (Lake Koocanusa),Stream,48.87513,-115.23823
MDEQ_WQ_WQX-K01SUTTC01,Montana,Sutton Creek about 1.5 miles upstream of mouth (Lake Koocanusa),Stream,48.76112,-115.24909
MDEQ_WQ_WQX-K01TENMC01,Montana,Tenmile Creek near mouth (Lake Koocanusa),Stream,48.59497,-115.20676
MDEQ_WQ_WQX-K01TOBCR01,Montana,Tobacco River below Grave and Fortine confluence,Stream,48.7997,-114.9531
MDEQ_WQ_WQX-K01URALC01,Montana,Ural Creek near mouth (Lake Koocanusa),Stream,48.60193,-115.27017
MDEQ_WQ_WQX-K01WARLC01,Montana,Warland Creek at mouth (Lake Koocanusa),Stream,48.5031,-115.25566
MDEQ_WQ_WQX-K01YAAKR01,Montana,Yaak River near Troy upstream of Hwy 2 bridge,Stream,48.56152,-115.97037
MDEQ_WQ_WQX-K01YUNGC01,Montana,Young Creek near mouth (Lake Koocanusa),Stream,48.96254,-115.19665
MDEQ_WQ_WQX-K02LAKEC01,Montana,Lake Creek upstream Bramlet Creek confluence,Stream,48.03681,-115.49411
MDEQ_WQ_WQX-K03BASNC01,Montana,Basin Creek East Fork upstream of confluence with West Fork,Stream,48.8753,-115.484
MDEQ_WQ_WQX-K03FLTTC01,Montana,Flattail Creek near mouth,Stream,48.6243,-115.7142
MDEQ_WQ_WQX-K03GRIZC01,Montana,Grizzly Creek near mouth,Stream,48.7464,-115.8188
MDEQ_WQ_WQX-K03SMOTC01,Montana,Smoot Creek near mouth,Stream,48.7203,-115.6436
MDEQ_WQ_WQX-M01BDYDC06,Montana,Bloody Dick Creek,Stream,45.0427,-113.4087
MDEQ_WQ_WQX-M01ELKC01,Montana,Elk Spring Creek 1/4 mile west of Elk Lake Road,Stream,44.644444,-111.66361
MDEQ_WQ_WQX-M01PRICC01,Montana,Price Creek at the elk/cattle enclosure fence,Stream,44.574167,-112.125
MDEQ_WQ_WQX-M01RDRKC01,Montana,Red Rock Creek near Elk Lake Rd crossing at USGS gage,Stream,44.6164,-111.6564
MDEQ_WQ_WQX-M02BDEFC01,Montana,Blacktail Deer Creek East Fork in Robb Cr Wildlife area,Stream,44.865833,-112.218611
MDEQ_WQ_WQX-M02BVHDR90,Montana,Beaverhead River at Pipe Organ FAS,Stream,45.06646,-112.80031
MDEQ_WQ_WQX-M02RATSC01,Montana,Rattlesnake Creek about 1 1/2 miles above the USFS boundary,Stream,45.296111,-112.905278
MDEQ_WQ_WQX-M03BGHLR13,Montana,Big Hole River at High Road Fishing Access,Stream,45.54694,-112.36722
MDEQ_WQ_WQX-M03BGHLR15,Montana,Big Hole River at Kalsta Bridge,Stream,45.52667,-112.70083
MDEQ_WQ_WQX-M03BGHLR25,Montana,Big Hole River at Glen FAS,Stream,45.46809,-112.6669
MDEQ_WQ_WQX-M03BGHLR30,Montana,Big Hole River at Fishtrap Creek FAS,Stream,45.86998,-113.2247
MDEQ_WQ_WQX-M03BGHLR35,Montana,Big Hole River at Salmon Fly FAS,Stream,45.6258,-112.6873
MDEQ_WQ_WQX-M03BGHLR38,Montana,Big Hole River at Maiden Rock FAS,Stream,45.663165,-112.698275
MDEQ_WQ_WQX-M03LMCHC01,Montana,LaMarche Creek upstream of USFS boundary,Stream,45.910833,-113.217222
MDEQ_WQ_WQX-M03SYMRC01,Montana,Seymour Creek above Lower Seymour Lake campground,Stream,45.995833,-113.187222
MDEQ_WQ_WQX-M03WILOC01,Montana,Willow Creek at base of Thunderhead Mountain,Stream,45.448056,-112.82777
MDEQ_WQ_WQX-M03WILOC02,Montana,"Willow Creek on BLM land, northwest of Apex exit",Stream,45.438056,-112.74222
MDEQ_WQ_WQX-M04GHCNF01,Montana,Greenhorn Creek North Fork,Stream,45.121944,-112.039167
MDEQ_WQ_WQX-M04RUBYR08,Montana,Ruby River Lower at Vigilante Fishing Access,Stream,45.263333,-112.095278
MDEQ_WQ_WQX-M05BEAVC01,Montana,Beaver Creek at mouth,Stream,45.226211,-111.24987
MDEQ_WQ_WQX-M05BOZMC07,Montana,Bozeman Creek near trailhead (Forest Service),Stream,45.5918,-111.0266
