OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
ADVENTURESCIENTISTS,Adventure Scientists (Volunteer)*,ADVENTURESCIENTISTS-49.00.114.48,North Fork Flathead River (Flathead Wild and Scenic River)-49.00.114.48,River/Stream,,17010206,,,,,49.0010515236,-114.4755691052,,,,GPS Code (Pseudo Range) Differential,WGS84,,,,,,,US,30,029,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000001,Swiftcurrent Creek #2,River/Stream,Creek meets Bkft Hwy. 307,09040001,,,,,48.8431194400,-113.4342277800,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1377,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000002,St. Mary River #1,River/Stream,Creek meets Bkft Hwy. 130,09040001,,,,,48.7520305600,-113.4365000000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1368,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000003,St. Mary River #2,River/Stream,100' below St. Mary Diversion Dam,09040001,,,,,48.8522722200,-113.4164222200,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1365,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000004,St. Mary River #4,River/Stream,At Camp 9 Bridge,09040001,,,,,48.9431361100,-113.3714305600,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1306,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000005,Milk River #1,River/Stream,River meets Bkft Hwy. 13,10050001,,,,,48.8597305600,-113.0165472200,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1342,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000006,Milk River #2,River/Stream,River meets State Hwy. 483,10050001,,,,,48.9538833300,-112.7535916700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1231,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000007,Milk River #3,River/Stream,3/4 mile south of Canadian border,10050001,,,,,48.9894138900,-112.5713111100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1173,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000008,Cut Bank Creek #1,River/Stream,Creek meets State Hwy. 445,10030202,,,,,48.5857388889,-113.1229388889,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1404,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000009,Cut Bank Creek #3,River/Stream,Creek meets State Hwy. 444,10030202,,,,,48.6613416667,-112.7596250000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1206,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000010,Cut Bank Creek #4,River/Stream,Creek meets US Hwy. 2,10030202,,,,,48.6351916667,-112.3464333333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1084,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000011,Cut Bank Creek #5,River/Stream,100' above Marias River confluence,10030202,,,,,48.4866083333,-112.2287833333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1002,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000012,Willow Creek #1,River/Stream,Creek meets US Hwy. 89,10030202,,,,,48.5554138900,-113.0899888900,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1380,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000013,Willow Creek #2,River/Stream,100' above Depot Creek confluence,10030202,,,,,48.5546027778,-112.9881861111,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1319,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000014,Willow Creek #3,River/Stream,1/10 mile above Cut Bank Creek confluence,10030202,,,,,48.6555500000,-112.7458111100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1207,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000016,Two Medicine River #5,River/Stream,River meets US Hwy. 89,10030201,,,,,48.4728555556,-112.8025333333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1207,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000017,Two Medicine River #6,River/Stream,River meets State Hwy. 358,10030201,,,,,48.4724750000,-112.3580833333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1063,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000018,Badger Creek #1,River/Stream,Creek meets Bkft Hwy. 1,10030201,,,,,48.3277027800,-112.9746083300,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1343,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000020,Birch Creek #1,River/Stream,1/4 mile below Swift Dam,10030201,,,,,48.1663666700,-112.8678722200,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1441,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000021,Birch Creek #2,River/Stream,Creek meets Bkft Hwy. 1,10030201,,,,,48.2324916700,-112.7346166700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1328,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000022,Birch Creek #3,River/Stream,Creek meets US Hwy. 89,10030201,,,,,48.3221361100,-112.5509055600,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1189,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000023,Birch Creek #4 (aka Two Med),River/Stream,100' above Marias River confluence,10030201,,,,,48.4838083300,-112.2285111100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1004,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000024,Little Badger Creek #1,River/Stream,Creek meets Bkft Hwy. 1,10030201,,,,,48.3578222200,-113.0022944400,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1405,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000025,Whitetail Creek #1,River/Stream,Creek meets Blkft Hwy. 4,10030201,,,,,48.3765277778,-112.7679750000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1249,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000026,Cut Bank Creek #2,River/Stream,Creek meets State Hwy. 464,10030202,,,,,48.6166666667,-113.0366638889,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1341,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000027,Blacktail Creek #1,River/Stream,2 miles southwest of Bkft Hwy. 23,10030201,,,,,48.3231916700,-112.6209861100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1208,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000028,Two Medicine River #1,River/Stream,100' below Two Medicine Dam,10030201,,,,,48.4914444444,-113.2623944444,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1488,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000029,Two Medicine River #3,River/Stream,River meets Bkft Hwy.1,10030201,,,,,48.4264611100,-112.9910888900,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1268,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000032,Swiftcurrent Creek #1,River/Stream,At USGS gaging station,09040001,,,,,48.8300944400,-113.5173027800,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1450,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000033,Boulder Creek #1,River/Stream,100' above Swiftcurrent confluence,09040001,,,,,48.8325500000,-113.4596250000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1437,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000034,Divide Creek #1,River/Stream,1/4 mile south of State Hwy. garage,09040001,,,,,48.7401527800,-113.4284944400,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1397,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000035,Kennedy Creek #1,River/Stream,Creek meets US Hwy. 89,09040001,,,,,48.9144583300,-113.4355111100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1375,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000036,Middle Fork Milk River #1,River/Stream,1 mile south of Hwy. 464 and Galbreath Road,10050001,,,,,48.8443694400,-113.2143666700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1470,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000037,Dry Fork Milk River #1,River/Stream,2¼ mile south of Hwy. 464 and Galbreath Road,10050001,,,,,48.8309055600,-113.2010944400,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1450,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000038,Livermore Creek #1,River/Stream,Creek meets State Hwy. 464,10050001,,,,,48.7675472200,-113.1754277800,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1441,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000039,South Fork Milk River #1,River/Stream,River meets US Hwy. 89,10050001,,,,,48.6513138900,-113.3203416700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1637,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000040,South Fork Milk River #2,River/Stream,River meets State Hwy. 464,10050001,,,,,48.7576805600,-113.1655888900,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1443,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000042,North Fork Cut Bank Creek #2,River/Stream,Creek meets US Hwy. 89,10030202,,,,,48.6086166667,-113.2864166667,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1537,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000043,North Fork Milk River #1,River/Stream,River meets Galbreath Road,10050001,,,,,48.9169194400,-113.2012833300,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1371,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000044,South Fork Cut Bank Creek #1,River/Stream,Creek meets US Hwy. 89,10030202,,,,,48.5577611111,-113.2731722222,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1534,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000047,Railroad Creek #1,River/Stream,Creek meets Bkft Hwy. 2,10030201,,,,,48.4229416700,-113.2097277800,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1442,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000048,South Fork Two Medicine River #1,River/Stream,Creek meets Bkft Hwy. 2,10030201,,,,,48.4056583300,-113.1542666700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1355,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000049,North Fork Cut Bank Creek #3,River/Stream,1 mile below Glacier Park line,10030202,,,,,48.6115000000,-113.3546055556,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1546,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000052,Blacktail Creek #2,River/Stream,Above bridge on US Hwy. 89,10030201,,,,,48.3534055600,-112.5573555600,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1185,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000054,Flatiron Creek #1,River/Stream,1 1/2 miles NE of Browning,10030202,,,,,48.5720444444,-112.9902666667,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1318,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000056,Midvale Creek #3,River/Stream,100' below sewage plant,10030201,,,,,48.4336888889,-113.2073694444,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1420,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000058,Depot Creek #1,River/Stream,100 feet above Depot Creek confluence,10030202,,,,,48.5541194444,-112.9877111111,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1325,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000060,St. Mary River #5,River/Stream,100' below US Hwy. 89 bridge,09040001,,,,,48.8445611100,-113.4179250000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1365,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000061,Cut Bank Creek #6,River/Stream,50' above ford,10030202,,,,,48.6899527778,-112.4234083333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1131,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000062,Cut Bank Creek #7,River/Stream,3.25 miles upstream from Highway 2 bridge,10030202,,,,,48.6645450000,-112.3716730000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1104,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000063,Birch Creek #6,River/Stream,100' above Valier Hwy. 358,10030201,,,,,48.3573944400,-112.3429416700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1091,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000064,Birch Creek #5,River/Stream,100' below Birch Creek Diversion Dam,10030201,,,,,48.2518888900,-112.6242805600,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1262,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000065,Cut Bank Creek #8,River/Stream,Creek meets Pardue Road bridge,10030202,,,,,48.6834055556,-112.5828750000,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1190,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000066,Big Rock Coulee,River/Stream,1/4 mile above mouth,10030202,,,,,48.6854500000,-112.3890555556,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1121,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000067,Little Rock Coulee,River/Stream,Creek meets Ed Williams Road,10030202,,,,,48.7126527778,-112.4357388889,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1141,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000068,Cut Bank Creek #9,River/Stream,Creek meets 3 C Bar Road,10030202,,,,,48.6656666667,-112.9428083333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1270,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000069,Greasewood #1,River/Stream,Creek meets 3 C Bar Road,10030202,,,,,48.6668611111,-112.9438444444,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1271,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000070,Cut Bank Creek #10,River/Stream,100' below confluence w/ Wasteway Coulee,10030202,,,,,48.6927138889,-112.5149222222,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1160,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000071,Spring Creek,River/Stream,1/4 mile above confluence w/ Cut Bank Creek,10030202,,,,,48.5863055556,-112.3338583333,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1077,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000082,Arnoux Creek,River/Stream,1/4 mile above confluence w/ SF Milk River,10050001,,,,,48.7505250000,-113.1666083300,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1453,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000085,Milk River #4,River/Stream,5 miles above State Hwy. 483,10050001,,,,,48.9252400000,-112.8380888900,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1264,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000086,North Fork Milk River #2,River/Stream,2 miles from Canadian border,10050001,,,,,48.9797138900,-113.0314416700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1281,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000088,Milk River #5,River/Stream,4 miles east of Meriwether Road,10050001,,,,,48.9631361100,-112.6627138900,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1215,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000092,John Weathered,River/Stream,100' from Canadian border,09040001,,,,,48.9977888900,-113.1672583300,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1270,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000102,Birch Two Medicine #10,River/Stream,100 yards below Birch-2Med at Rock City,10030201,,,,,48.4446027800,-112.2602611100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1021,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000104,Badger Creek #4,River/Stream,100' above confluence w/ Two Medicine,10030201,,,,,48.4823944400,-112.5836166700,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1137,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000105,Two Medicine River #10,River/Stream,100' above confluence w/ Badger Creek,10030201,,,,,48.4834416667,-112.5839555556,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1137,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000106,South Fork Whitetail Creek #2,River/Stream,50' above bridge at Blkft Hwy. 1,10030201,,,,,48.2806611111,-112.8300277778,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1366,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,073,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-00000136,Connelly Ranch - Beaver Mimicry,River/Stream,1 mile off Hwy. 444 - Connelly Ranch on Willow Creek,10030202,,,,,48.6261916700,-112.7730694400,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-0000081B,Earl Vielle-Fox Creek,River/Stream,1/4 mile NE of E. Vielle ranch house,10050001,,,,,48.6919027800,-113.3020777800,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1609,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-0000091A,Toad Creek #2,River/Stream,1 mile west of Toad Lake,10050001,,,,,48.7435861100,-113.2419444400,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1498,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-0000118A,Fox Creek #2,River/Stream,1¾ miles above confluence w/ SF Milk River,10050001,,,,,48.7067522200,-113.2635872200,,,,GPS Code (Pseudo Range) Precise Position,NAD83,1545,m,,,GPS Code (Pseudo Range) Precise Position,SEALV,US,30,035,,,,,,,,,,STORET
BLCKFEET,Blackfeet Nation (Montana),BLCKFEET-000BLANK,Blackfeet Blanks,River/Stream,"Blanks for Blackfeet Environmental Office, 62 Hospital Road",10030202,,,,,48.5669694400,-113.0163361100,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,30,035,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC1,Beaver Creek - near reservation line,River/Stream,,10050004,,,,,48.2212860000,-109.6512660000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC2,Below Miner''s Gultch Stream,River/Stream,,10050004,,,,,48.2073550000,-109.6484610000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC3,Above Miner''s Gultch Stream,River/Stream,,10050004,,,,,48.2066600000,-109.6484400000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC4,Below Cabin Creek,River/Stream,,10050004,,,,,48.1947200000,-109.6497760000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC5,Above Cabin Creek,River/Stream,,10050004,,,,,48.1941780000,-109.6502650000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC6,Below Elk Creek,River/Stream,,10050004,,,,,48.1860950000,-109.6456330000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC7,Above Elk Creek,River/Stream,,10050004,,,,,48.1857860000,-109.6456230000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
CHIPCREE_WQX,Chippewa Cree Tribe @ Rocky Boy Indian Reservation,CHIPCREE_WQX-BC8,"Beaver Creek Confuence, West & East Fork",River/Stream,,10050004,,,,,48.1777260000,-109.6412330000,,,,GPS-Unspecified,NAD83,,,,,,,US,30,041,,,,,,,,,,STORET
